0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-1.3,4.0
-1.023869e-05,-7.99236e-06,0.0016147803,0.0119957775,-0.014065024,-0.002577506,-0.0017662299,-0.0011894432,0.16686064,1.0533626,-1.2695678,-0.2823284,-4.0,-1.3,4.0
-0.00013798979,-9.000661e-05,0.00681965,0.03866513,-0.04713705,-0.011534626,-0.013141336,-0.008138735,0.356231,1.5595875,-1.9724373,-0.61120653,-4.0,-1.3,4.0
-0.0006430389,-0.00038593635,0.015935855,0.07296437,-0.09125817,-0.02680764,-0.040339846,-0.022752097,0.556624,1.8446593,-2.4111786,-0.91004694,-4.0,-1.3,4.0
-0.0018834006,-0.0010529035,0.02911564,0.11173047,-0.14271958,-0.047673844,-0.08718977,-0.045217507,0.7618013,2.0181873,-2.7162747,-1.1699774,-4.0,-1.3,4.0
-0.0042780996,-0.002244221,0.046413347,0.15323897,-0.19930461,-0.073352486,-0.15607443,-0.07509465,0.96783805,2.1236498,-2.9296784,-1.391799,-4.0,-1.3,4.0
-0.008282024,-0.004102075,0.06781392,0.196402,-0.2594801,-0.10311277,-0.24824516,-0.11177557,1.1716255,2.1866093,-3.0787737,-1.5788714,-4.0,-1.3,4.0
-0.014365956,-0.0067570973,0.09324671,0.24048263,-0.32213473,-0.1363081,-0.364076,-0.15473779,1.3706883,2.2165875,-3.1791587,-1.7361045,-4.0,-1.3,4.0
-0.023000618,-0.010331022,0.122596055,0.2848971,-0.38636285,-0.17238998,-0.5032005,-0.20362034,1.5629644,2.220955,-3.2368598,-1.8679572,-4.0,-1.3,4.0
-0.034642726,-0.014940128,0.15570867,0.32916927,-0.45134994,-0.21085978,-0.664604,-0.2582404,1.7467707,2.202529,-3.2558477,-1.9748164,-4.0,-1.3,4.0
-0.04972295,-0.02069869,0.19240154,0.37285638,-0.5163644,-0.25121078,-0.8467043,-0.31857148,1.9207973,2.1628666,-3.2397435,-2.0559778,-4.0,-1.3,4.0
-0.06863527,-0.027721573,0.2324689,0.41555828,-0.58070195,-0.2929289,-1.0474373,-0.38469118,2.0840998,2.1041403,-3.1879263,-2.111801,-4.0,-1.3,4.0
-0.09172879,-0.03612579,0.27569082,0.4568877,-0.6436301,-0.33552632,-1.2644136,-0.45672637,2.236233,2.0253642,-3.0984306,-2.143832,-4.0,-1.3,4.0
-0.119303375,-0.046030767,0.32184467,0.496444,-0.7043723,-0.37851533,-1.4951086,-0.534772,2.3773515,1.927141,-2.9687781,-2.1509838,-4.0,-1.3,4.0
-0.15160657,-0.057556294,0.37071434,0.5338451,-0.7620858,-0.421398,-1.7368091,-0.6187466,2.5079088,1.8098793,-2.794556,-2.1331434,-4.0,-1.3,4.0
-0.18883063,-0.07081803,0.42209554,0.56873024,-0.8158055,-0.4636839,-1.986742,-0.70831454,2.6286724,1.6761048,-2.5683556,-2.0915976,-4.0,-1.3,4.0
-0.23111267,-0.08592185,0.4758025,0.6007794,-0.8644429,-0.5048999,-2.242127,-0.8028031,2.7406359,1.5260413,-2.2851593,-2.0257022,-4.0,-1.3,4.0
-0.27853313,-0.10295573,0.53166884,0.6296846,-0.9067674,-0.5445349,-2.500117,-0.90110224,2.8447804,1.3624749,-1.9355171,-1.933121,-4.0,-1.3,4.0
-0.33111614,-0.12198132,0.5895482,0.6552098,-0.9413765,-0.58202803,-2.7579255,-1.0016892,2.942102,1.1887808,-1.5126545,-1.8112208,-4.0,-1.3,4.0
-0.38883054,-0.14302589,0.64931303,0.6771859,-0.96672153,-0.6167971,-3.0127623,-1.1026337,3.0334227,1.007762,-1.0075057,-1.6619166,-4.0,-1.3,4.0
-0.45158452,-0.16607244,0.71084476,0.6955187,-0.9810901,-0.64837617,-3.261291,-1.2014326,3.118721,0.8269727,-0.4134404,-1.4933026,-4.0,-1.3,4.0
-0.5192201,-0.19105154,0.77402234,0.71045464,-0.98261464,-0.6765068,-3.50058,-1.2955143,3.1982121,0.67514795,0.27150863,-1.3238206,-4.0,-1.3,4.0
-0.5915386,-0.2178492,0.8387492,0.72293836,-0.9701818,-0.7016408,-3.7294807,-1.3830311,3.2741058,0.5814864,0.96655685,-1.198461,-4.0,-1.3,4.0
-0.6683263,-0.24631941,0.9049812,0.7338064,-0.9443518,-0.72477627,-3.947432,-1.4625465,3.349179,0.5031721,1.6029506,-1.1217088,-4.0,-1.3,4.0
-0.74935955,-0.27628887,0.97272694,0.7429284,-0.90669787,-0.74672127,-4.153914,-1.5327218,3.4257567,0.40589538,2.1474166,-1.0774378,-4.0,-1.3,4.0
-0.8344035,-0.30755743,1.0420332,0.74992836,-0.85904986,-0.76804274,-4.348432,-1.5922492,3.505461,0.2898879,2.6011555,-1.058693,-4.0,-1.3,4.0
-0.9232118,-0.33989903,1.1129701,0.75431544,-0.8032171,-0.789195,-4.5302057,-1.6398062,3.5888212,0.14461404,2.9697917,-1.0586889,-4.0,-1.3,4.0
-1.0155207,-0.3730614,1.1856085,0.75563186,-0.74070823,-0.8104228,-4.6983805,-1.6741407,3.6755567,-0.013718963,3.2705286,-1.0641589,-4.0,-1.3,4.0
